"","retweeter","retweeted"
"491","v_verite","SenSanders"
"492","akihito_aki","syashingo"
"493","JJMCCABE2","BernieCrats1"
"494","wako7232","syashingo"
"495","wako7232","syashingo"
"496","negotohaneteie","aequitas1500"
"497","kathleenkent","SenWarren2020"
"498","SansaRising","Fightfor15LA"
"499","shiraike","syashingo"
"500","kathleenkent","RebootDNC"
"501","jaw6","Kaimandante"
"502","bernierockson","Fightfor15LA"
"503","izuta_kaoru","syashingo"
"504","izuta_kaoru","syashingo"
"505","izuta_kaoru","syashingo"
"506","HARD_GAY_COP","Kaimandante"
"507","pokepika2011","syashingo"
"508","Neomad84","BernieCrats1"
"509","789yassan","aequitas1500"
"510","NonsenseEnd","ILoveBernie1"
"511","raindrops98","aequitas1500"
"512","doug_fresco","SenSanders"
"513","winterdongtian1","Sentinel2NO"
"514","115257888a","aequitas1500"
"515","jhfridhem1","SenSanders"
"516","aequitas1500","aequitas1500"
"517","DerekHannity","SenSanders"
"518","SelmaJonque","SenSanders"
"519","Forbrydelsenfan","Fightfor15LA"
"520","BernieVolunteer","SenSanders"
"521","SansaRising","SenSanders"
"522","joseper61465764","ILoveBernie1"
"523","Forbrydelsenfan","SenSanders"
"524","BernieVolunteer","SenSanders"
"525","jeyiuarez","wbpnetdotorg"
"526","ALeftoverture","Fightfor15LA"
"527","BernieVolunteer","Fightfor15LA"
"528","cvharquail","Demos_Org"
"529","ItsMePing_t","UR_Ninja"
"530","josemarioochoa","SSludgeworth"
"531","StDxExcallbur","wbpnetdotorg"
"532","buylheartgames","wbpnetdotorg"
"533","albertllorens2","ericardo3"
"534","kameido_hiro","aequitas1500"
"535","knazawa_kazuko","syashingo"
"536","kan18480331","aequitas1500"
"537","wbpnetdotorg","wbpnetdotorg"
"538","GlamGOBErt","syashingo"
"539","gayatri_records","syashingo"
"540","gayatri_records","syashingo"
"541","leehlawrence","jwjnational"
"542","Lol_Cockpragdis","DW_Bobbyisms"
"543","usakojpn","syashingo"
"544","GlamGOBErt","syashingo"
"545","mcardone25","SenWarren"
"546","mipoko611","aequitas1500"
"547","mcgingly","Kaimandante"
"548","yukhimula","aequitas1500"
"549","uheho","syashingo"
"550","VV4Change","ericbyler"
"551","yamwunsaen","syashingo"
"552","hiyoko_mame63","aequitas1500"
"553","btmup1500","syashingo"
"554","whizkhidK","Kaimandante"
"555","btmup1500","syashingo"
"556","haircut_hippie","Kaimandante"
"557","btmup1500","syashingo"
"558","Dubs1Koukla","laura_garvock"
"559","engagedscholar","ClarissaHayward"
"560","gumo_1234","syashingo"
"561","nagara1922715","syashingo"
"562","soranionegai","syashingo"
"563","chasuki","syashingo"
"564","FFMatudo","syashingo"
"565","Ulexar","Kaimandante"
"566","rituko_1368k","syashingo"
"567","nagara1922715","syashingo"
"568","SktSeiru2","syashingo"
"569","115257888a","up1500yen"
"570","nashika_ryo","aequitas1500"
"571","aequitas1500","syashingo"
"572","y_fbd","syashingo"
"573","y_fbd","syashingo"
"574","ringz34","aequitas1500"
"575","gintatakamatu","syashingo"
"576","aniplexstema","syashingo"
"577","fuwarihonwaka","aequitas1500"
"578","shadetreader","RevDrBarber"
"579","KeiSchreier","syashingo"
"580","Keikolein","syashingo"
