"","screenName","retweetCount","text","duplicated","Type"
"95","fightfor15",122,"Breaking: Last two folk arrested last night at the #fightfor15 action in Las Vegas just released! Everyone is now o… https://t.co/axnZ98iMjy",FALSE,"6"
"96","ryanstopera",121,"Minneapolis resists Trump and poverty wages #Fightfor15 https://t.co/5vU0nWssk4",FALSE,"4"
"97","TheNewDeal",121,"$7.25 is a slave wage in 2016.

#FightFor15",FALSE,"5"
"98","LawlessPirate",120,"#ItReallyOffendsMeWhen I see people seriously protesting for the #FightFor15 https://t.co/H73e64DCN2",FALSE,"5"
"99","larryelder",119,"How is McDonald's adjusting to the dumbass #fightfor15?

https://t.co/dhj42JbzBr https://t.co/M9ISk0F4TW",FALSE,"5"
"100","Marc_Perrone",119,"While we Fight for Justice

Trump dreams of a day when he can Jail or Deport those who express themselves or disagr… https://t.co/Vy6eWpNPY5",FALSE,"1"
"101","fightfor15",117,"Tomorrow is the DAY OF DISRUPTION. Join us in the streets and online. Follow #FightFor15 and join the Thunderclap:… https://t.co/22q4kLsLtc",FALSE,"6"
"102","FightFor15FL",116,"Fast food, childcare workers adjuncts, and clergy just took arrests in Tampa to stand up for a better future for AL… https://t.co/igaHt5s09i",FALSE,"6"
"103","MattWalshBlog",116,"Best way to #Fightfor15? Get a better job",FALSE,"5"
"104","fightfor15",116,"Mood outside of McDonald's right now. Everyone linking arms in solidarity as dozens get arrested for civil disobedi… https://t.co/7XAyRYlhcK",FALSE,"6"
"105","DemSocialists",113,"We #FightFor15 because ""if you wait for the boss to raise your pay,
We'll all be a-waitin' 'til Judgment Day"" —Pete Seeger, ""Talking Union""",FALSE,"1"
"106","KamalaHarris",111,"Although the national day of action for the #FightFor15 may be over, our fight for a living wage continues each and… https://t.co/6J2yEz931o",FALSE,"2"
"107","itsRamel",111,"""The current federal minimum wage is starvation pay and must become a living wage."" @BernieSanders #Fightfor15",FALSE,"5"
"108","NorCalFF15",110,"Arrests begin at McDonalds. Workers standing firm for justice. #FightFor15 https://t.co/piSPN0m4VV",FALSE,"6"
"109","UR_Ninja",109,"NEW: 21 people in #Minneapolis were arrested before the sun came up as part of the nationwide #Fightfor15. Watch &gt;… https://t.co/6AAv3eZ2if",FALSE,"6"
"110","Fightfor15LA",109,"LA is officially ON STRIKE. We won $15 by acting like a union, and we will continue winning because we won't back d… https://t.co/zimgrP9QEx",FALSE,"6"
"111","fightfor15",108,"We aren't finished. Hundreds of #FightFor15 workers are risking arrest tonight. ������WE������WON'T������BACK������DOWN������  #FightFor15 https://t.co/BXFZoGmjI6",FALSE,"6"
"112","fightfor15texas",108,"7 people arrested in #HoustonTx during today's #Fightfor15 rally. YES! We're willing to risk arrest for a better fu… https://t.co/TQoeGUGQAc",FALSE,"6"
"113","ScottPresler",107,"Well-played democrats, your #Fightfor15 just lost us thousands of jobs across USA.

Workers replaced with machines.
https://t.co/vofQLVRUU5",FALSE,"5"
"114","ChrisJZullo",107,"Modern Unions are vital protection for American worker rights, wages and protections against Wall Street fueled corporate greed #FightFor15",FALSE,"5"
"115","pragmactivist",107,"#Fightfor15 haters: You’re being screwed, but not by gays, POCs,&amp; workers trying to feed families. Get mad at a Cor… https://t.co/2pHbZe6Ka0",FALSE,"5"
"116","fightfor15",107,"Breaking: Uber Drivers Are Joining Nationwide #FightFor15 Protests on Tuesday https://t.co/mC1eS3BDQe https://t.co/AI1C1lCBae",FALSE,"6"
"117","LUCHA_AZ",106,"BREAKING: AZ Fast Food Workers in Strike for $15 and Right to a Union! #fightfor15 https://t.co/PaTfJs3uJo",FALSE,"1"
"118","GoodAirports",106,"Amazing! ATL #airportworkers and fast food workers dancing in the rain! I BELIEVE THAT WE WILL WIN!… https://t.co/9W4OlQ9tE0",FALSE,"6"
"119","fightfor15",105,"Tomorrow, we lay it all on the line. #FightFor15 workers in 340 cities will strike and commit civil disobedience… https://t.co/gcUaRPGmlV",FALSE,"6"
"120","FastFoodForward",103,"We've filled Broadway in downtown Manhattan! We won't be divided. We won't back down! #Fightfor15 https://t.co/5Fpdcjc80X",FALSE,"6"
"121","democracynow",101,"Tens of Thousands #Fightfor15 on National Day of Disruption https://t.co/RC04bjls3W https://t.co/JrORZj6xJB",FALSE,"3"
"122","democracynow",99,"Protests in 340 Cities Demand $15-an-Hour Minimum Wage #Fightfor15 https://t.co/zALgYoyLFW https://t.co/zdPnodNTFj",FALSE,"3"
"123","masseydaniel",98,"83-year old McDoanld's worker Jose Carillo on his 12th strike gets arrested #Fightfor15 https://t.co/ExvgzmNoqE",FALSE,"4"
"124","Fightfor15LA",98,"CA is proof that when we strike we win. Join the #FightFor15 Nat'l Day of Disruption to declare you won't back down… https://t.co/B7fwBom79O",FALSE,"6"
"125","scrowder",97,"Dear burger-flipping #SJWs, take this and call me in the morning. #Fightfor15.  #LwC &gt;&gt; https://t.co/v7vfGoBgg4 https://t.co/FfUzhBdHwy",FALSE,"5"
"126","JCL_VT",97,"Streets shut down; banner drops; faculty, fast food and homecare workers in the #FightFor15 taking arrest. It's bar… https://t.co/xrpE7jf2As",FALSE,"5"
"127","TheMarkRomano",96,"Hey, let's make economic policy based on the demands of the least-educated, least-skilled among us!
#Fightfor15",FALSE,"5"
"128","iGOPguy",93,"Liberals refuse to realize that it's the large corporations that want a $15 wage. 

Small business will be erased by #Fightfor15.",FALSE,NA
"129","fightfor15",93,"Organized mass strikes, protests take place across country https://t.co/lq9VgFp9ZE via @itsa_talia #FightFor15",FALSE,"6"
"130","USProgressives",91,"Workers all over the country are marching for $15/hour and union rights. CPC stands with them as they demand econom… https://t.co/LrSP88Z9Qh",FALSE,NA
"131","Show_Me15",91,"Rise and shine! Memphis is ON STRIKE for $15 &amp; union rights! #FightFor15 https://t.co/waV1sEb3ir",FALSE,"6"
"132","FightFor15FL",91,"On Tuesday Nov. 29, workers nationwide are turning up for a Better Life. We Won't Back Down. 

Text FOLLOW to 64336… https://t.co/8OUmM4CExA",FALSE,"6"
"133","chifightfor15",90,"Some of us are raising families and trying going to school, but it's impossible on minimum wage. That's why on Nov… https://t.co/eF6hFhkW33",FALSE,"6"
"134","JacquesLoveall",89,"If the #MinimumWage had

kept up with Economic Growth,

it would be $18.85 today.

#Fightfor15 #1u #UFCW8… https://t.co/pYvRKxdws4",FALSE,"5"
"135","LeahRBoss",88,"The #Fightfor15 folks are all for letting illegal immigrants in too. 

Pssssst. Who do you think will work happily for less pay?",FALSE,"5"
"136","Show_Me15",88,"Why Ebony will strike 11/29: ""I can't raise my son on $7.65. It shouldn't be a struggle to pay bills &amp; put food on… https://t.co/wx7CU46rfc",FALSE,"6"
"137","JimmyPrinceton",87,"Oh the irony. This doesn't even pay $15 an hour. And you have to be based in NY or DC. #Fightfor15 https://t.co/4Cs0sJ8ZHa",FALSE,"5"
"138","pslweb",87,"In how many states can a single person afford a one-bedroom apartment working full-time at minimum wage? ZERO.… https://t.co/nyIkjRZo0p",FALSE,NA
"139","RaiseUpfor15",86,"On the shoulders of giants in Durham, NC today as we risk harm for freedom. The labor movement is alive and kicking… https://t.co/1kx0NDfYCx",FALSE,"6"
"140","standup_kc",86,"This is what democracy looks like in Kansas city! #Fightfor15 https://t.co/7gmY1isOfz",FALSE,"6"
"141","TheNewDeal",86,"As unions decline, the middle class and wages follow.

This isn't a coincidence, it's the plan.

#Capitalism
#FightFor15",FALSE,"5"
"142","TheNewDeal",86,"It's not that people don't want to work. They want something to work for. It's demoralizing to work &amp; still live in poverty

#FightFor15",FALSE,"5"
"143","Marc_Perrone",86,"Join Us!

We stand with #FightFor15 &amp;

#PovertyDoesntFly Workers

who are #Striking Today for

#FairWages &amp; a Bette… https://t.co/2yff8pMZJF",FALSE,"1"
"144","LibsNoFun",85,"Why not $50? #Fightfor15 https://t.co/FUCYWTz2Rc",FALSE,"5"
"145","UR_Ninja",83,"Fast Food Workers Strike for $15/Hr in #Minneapolis &amp; 21 People Arrested for Blocking Intersection - #FightFor15 https://t.co/HuEiK4vuAl",FALSE,"6"
"146","TheMarkRomano",83,"Instead of acquiring skills to make her more valuable to employers, this genius wants to keep getting arrested for… https://t.co/kbjWLnyJTI",FALSE,"5"
"147","fightfor15",82,"Breaking: @RevDrBarber arrested with #FightFor15 leaders as Durham police bring out the riot batons #FightFor15… https://t.co/s2VF4IkWkg",FALSE,"6"
"148","emrutherford90",82,"The whole #Fightfor15 movement is based on laziness and entitlement.  
Get educated, work hard, and #Earn15 instead!!",FALSE,"4"
"149","RoseAnnDeMoro",82,"11/29: Airport &amp; fast food workers are going on strike, protests in 340+ cities. Join the #Fightfor15:… https://t.co/51lPds0Hi7",FALSE,"5"
"150","syashingo",80,"連合系や全労連系など様々な労働組合からも参加してます
#fightfor15 00 #最低賃金上げろ 
#最低賃金を1500円に #最低賃金1500円になったら https://t.co/NVPlPXS5Tq",FALSE,"1"
"151","pragmactivist",80,"TODAY: Strikes erupt in HUNDREDS of cities as #Fightfor15 workers demand a living wage. Here are some highlights fr… https://t.co/7rb30RyIFS",FALSE,"5"
"152","zachhaller",79,"If min wage kept up w growth, it'd be $18.85 today

That's how bad 1% is looting working ppl. We must #Fightfor15 

https://t.co/dqHaJtFBBt",FALSE,"5"
"153","RaiseUpfor15",78,"""We do this for our ancestors. We do this for all who came before us. For all who died fighting for freedom"" Durham… https://t.co/1I3EIoHZIY",FALSE,"6"
"154","GatorsEite23",77,"Pics via @Tomaskenn. Today Ft Lauderdale airport workers fighting for a $15/hr living wage &amp; a union. #FightFor15… https://t.co/bLAZ7UwLku",FALSE,"4"
"155","UAW",77,"Hundreds of #FightFor15 protesters have been ARRESTED. They're striking, protesting, saying it loud: We. Won’t. Bac… https://t.co/TIcMQV85eX",FALSE,"1"
"156","chifightfor15",77,"BREAKING: striking workers &amp; clergy take intersection. #FightFor15 https://t.co/MpBbWG7HUq",FALSE,"6"
"157","fightfor15",76,"Unemployment hits lowest point since 2007 but 43% of workers are making less than $15/hour. That's a crisis. #Fightfor15 #JobsReport",FALSE,"6"
"158","standup_kc",76,"Happening now: Fast food workers have SHUT DOWN the intersection of Meyer Blvd &amp; Troost. We’re not going anywhere u… https://t.co/nQXLTuz18Y",FALSE,"6"
"159","DemSocialists",76,"We #FightFor15 and a union because every worker deserves better than starvation wages. https://t.co/tFmNlRlurY",FALSE,"1"
"160","fightfor15",76,"Happening: FB Live special broadcast https://t.co/WYMKqIQxC9  ""#FightFor15:Why We Strike"". Bring your ?'s about 11/… https://t.co/yUba9vm37C",FALSE,"6"
"161","acbowen",75,"People laying on the ground to protest police shootings of people of color. #fightfor15 https://t.co/shOAy6ZcH0",FALSE,"4"
"162","fightfor15texas",74,"There's a Popeye's in Austin committing Wage Theft against their workers. Today the workers said enough is enough.… https://t.co/NdTr48j3JI",FALSE,"6"
"163","MaxineWaters",74,"Fair wages &amp; union rights are the bedrock of the middle class. I stand with working families today! #povertydoesntfly #fightfor15",FALSE,NA
"164","PCsBeard",74,"Attention #Fightfor15  : 

I suggest you back off on this one. https://t.co/DZoO2UHymp",FALSE,"4"
"165","RaiseUpfor15",73,"Workers and @RevDrBarber are blocking traffic in Durham, NC because we deserve more and power concedes nothing with… https://t.co/nHj1lnx3t4",FALSE,"6"
"166","ms_erika74",73,"Minimum wage jobs are starter jobs, not a career to raise your 7 children on.  #Fightfor15 is BS. Aquire skills, work hard, better yourself.",FALSE,"4"
"167","Fightfor15LA",72,"BREAKING: Hundreds of workers have shut down DTLA. We won't back down from our demands,regardless of corporations o… https://t.co/YKG5fRd4AT",FALSE,"6"
"168","LORdelosreyes",71,"So many problems with this. Jose shouldn't be working at 83. Strikers shouldn't be arrested. Min wage - where to st… https://t.co/0oyIBoTgfz",FALSE,NA
"169","RaiseUpfor15",71,"Tonight we showed the city of Birmingham belongs to the workers  #Fightfor15 https://t.co/Q5fxR6wKHO",FALSE,"6"
"170","mohammadshaikh_",71,"#Fightfor15 top Most #Influential #Muslims
#Nation of #Islam #Lead by #MohammadShaikh
#WhatQuranSaysAbout… https://t.co/rnkb0V5gZc",FALSE,NA
