Source,Target,Type,id,label,timeset,weight
standup_kc,Fightfor15LA,Directed,35932,,,1.0
32BJSEIU,seiufl,Directed,35984,,,1.0
AFLCIO,AFSCME,Directed,35991,,,2.0
AFLCIO,Show_Me15,Directed,36020,,,2.0
GoodAirports,AFSCME,Directed,36088,,,1.0
RobinHoodTax,Fightfor15LA,Directed,36209,,,1.0
chifightfor15,MarkRuffalo,Directed,36338,,,1.0
Latinos4Bernie,aMustReid,Directed,36382,,,1.0
FightFor15PA,PghUNITED,Directed,36408,,,1.0
GoodAirports,MaryKayHenry,Directed,36791,,,1.0
FastFoodForward,SenSherrodBrown,Directed,37226,,,1.0
SEIU,Fightfor15LA,Directed,37329,,,1.0
RobinHoodTax,RoseAnnDeMoro,Directed,37554,,,1.0
FF15ChildCare,GoodAirports,Directed,37580,,,2.0
fightfor15,SenSherrodBrown,Directed,37676,,,1.0
Show_Me15,TheNewThinker,Directed,37704,,,1.0
SEIU,Show_Me15,Directed,37936,,,5.0
NorCalFF15,Fightfor15LA,Directed,38068,,,2.0
jwjnational,chifightfor15,Directed,38228,,,1.0
32BJSEIU,RaiseUpMA,Directed,38276,,,1.0
fightfor15,SEIULouisiana,Directed,38291,,,1.0
RaiseUpfor15,MarkRuffalo,Directed,38358,,,1.0
AFSCME,SEIULouisiana,Directed,38371,,,1.0
DemSocialists,chifightfor15,Directed,38387,,,3.0
JayStylus,TheMarkRomano,Directed,38666,,,1.0
JayStylus,scrowder,Directed,38678,,,1.0
MaryKayHenry,CWAUnion,Directed,38745,,,1.0
AFSCME,fightfor15,Directed,38770,,,1.0
fightfor15,CWAUnion,Directed,38799,,,2.0
AFLCIO,EconomicPolicy,Directed,39105,,,1.0
Teamsters,chifightfor15,Directed,39259,,,4.0
Teamsters,32BJSEIU,Directed,39373,,,2.0
People4Bernie,FightFor15FL,Directed,40334,,,2.0
People4Bernie,CWAUnion,Directed,40358,,,1.0
zachhaller,chifightfor15,Directed,40435,,,1.0
zachhaller,SenSanders,Directed,40585,,,2.0
zachhaller,GatorsEite23,Directed,40594,,,1.0
zachhaller,MarkRuffalo,Directed,40686,,,1.0
SEIU,masseydaniel,Directed,40831,,,1.0
OurPoliticalRev,MarkRuffalo,Directed,41248,,,1.0
Teamsters,ATLRaiseUp,Directed,41477,,,1.0
Marc_Perrone,32BJSEIU,Directed,41681,,,1.0
Marc_Perrone,MaryKayHenry,Directed,42170,,,1.0
People4Bernie,ChrisJZullo,Directed,42381,,,1.0
Demos_Org,ATLRaiseUp,Directed,42472,,,1.0
pragmactivist,pragmactivist,Directed,42485,,,2.0
RaiseUpfor15,Latinos4Bernie,Directed,42596,,,1.0
Show_Me15,chifightfor15,Directed,42622,,,4.0
MoveOn,Show_Me15,Directed,42626,,,1.0
jwjnational,ATLRaiseUp,Directed,42686,,,1.0
Demos_Org,FF15ChildCare,Directed,42922,,,1.0
NorCalFF15,FF15ChildCare,Directed,43718,,,1.0
OurPoliticalRev,1alyssakang,Directed,43936,,,1.0
JayStylus,LawlessPirate,Directed,44216,,,1.0
People4Bernie,1alyssakang,Directed,44235,,,1.0
ChrisJZullo,ChrisJZullo,Directed,44240,,,2.0
fightfor15,SEIULocal1,Directed,44286,,,1.0
GatorsEite23,SenSanders,Directed,44856,,,1.0
AFLCIO,GoodAirports,Directed,45231,,,1.0
GatorsEite23,FightFor15FL,Directed,45815,,,1.0
DemSocialists,MarkRuffalo,Directed,46031,,,1.0
DemSocialists,fightfor15,Directed,46067,,,1.0
DemSocialists,SenSanders,Directed,46159,,,2.0
SEIU,Marc_Perrone,Directed,46589,,,1.0
RobinHoodTax,MaryKayHenry,Directed,46703,,,1.0
GoodAirports,Marc_Perrone,Directed,46760,,,1.0
People4Bernie,DemSocialists,Directed,46784,,,1.0
People4Bernie,FF15ChildCare,Directed,46798,,,1.0
People4Bernie,chifightfor15,Directed,46808,,,3.0
seiufl,FF15ChildCare,Directed,46891,,,1.0
SEIU,MaryKayHenry,Directed,47013,,,1.0
FightFor15FL,FF15ChildCare,Directed,47154,,,1.0
seiufl,DemSocialists,Directed,47187,,,1.0
fightfor15,DemSocialists,Directed,47226,,,1.0
DemSocialists,LUCHA_AZ,Directed,47376,,,1.0
OurPoliticalRev,SenSanders,Directed,47529,,,1.0
fightfor15,NelpNews,Directed,47693,,,3.0
chifightfor15,AriseChicago,Directed,47744,,,1.0
JayStylus,LibsNoFun,Directed,47846,,,1.0
aequitas1500,Fightfor15LA,Directed,47870,,,1.0
DemSocialists,EconomicPolicy,Directed,48054,,,1.0
PghUNITED,bradlander,Directed,48316,,,1.0
MaryKayHenry,NorCalFF15,Directed,48319,,,1.0
32BJSEIU,masseydaniel,Directed,48444,,,1.0
ms_erika74,ms_erika74,Directed,48721,,,1.0
figue32bj,jwjnational,Directed,48853,,,1.0
FightFor15FL,GatorsEite23,Directed,48861,,,1.0
figue32bj,fightfor15,Directed,48963,,,1.0
figue32bj,MarkRuffalo,Directed,49170,,,1.0
afarnitano,EconomicPolicy,Directed,49271,,,1.0
scapelliti,SenSanders,Directed,49282,,,2.0
JessLivMo,JCL_VT,Directed,49331,,,1.0
chifightfor15,JCL_VT,Directed,49546,,,1.0
JessLivMo,greenhousenyt,Directed,49684,,,1.0
aequitas1500,SenSanders,Directed,49835,,,1.0
CommsUnited,chifightfor15,Directed,49902,,,4.0
JessLivMo,TheNewThinker,Directed,50029,,,1.0
JessLivMo,fightfor15,Directed,50213,,,1.0
TheNewThinker,fightfor15,Directed,50271,,,1.0
CWAUnion,fightfor15,Directed,50289,,,2.0
Teamsters,greenhousenyt,Directed,50297,,,1.0
Teamsters,fightfor15texas,Directed,50399,,,1.0
JessLivMo,Fightfor15LA,Directed,50498,,,1.0
SEIU,GatorsEite23,Directed,50532,,,1.0
fightfor15,GatorsEite23,Directed,50710,,,1.0
JessLivMo,FightFor15FL,Directed,50760,,,1.0
JessLivMo,NelpNews,Directed,50889,,,1.0
figue32bj,SenSanders,Directed,50890,,,1.0
JessLivMo,PLANevada,Directed,50923,,,1.0
SEIU,NorCalFF15,Directed,50998,,,1.0
JessLivMo,chifightfor15,Directed,51013,,,1.0
Teamsters,AFLCIO,Directed,51181,,,1.0
GatorsEite23,Latinos4Bernie,Directed,51522,,,1.0
Teamsters,NelpNews,Directed,51542,,,1.0
jwjnational,EconomicPolicy,Directed,51673,,,1.0
jwjnational,SenSanders,Directed,51706,,,1.0
SEIU,PLANevada,Directed,51972,,,1.0
figue32bj,OccupyWallStNYC,Directed,51982,,,1.0
People4Bernie,EconomicPolicy,Directed,52252,,,1.0
People4Bernie,AFLCIO,Directed,52266,,,1.0
fightfor15,PLANevada,Directed,52393,,,1.0
pragmactivist,AFLCIO,Directed,52395,,,2.0
pragmactivist,JCL_VT,Directed,52410,,,1.0
pragmactivist,EconomicPolicy,Directed,52492,,,1.0
People4Bernie,aMustReid,Directed,52587,,,1.0
People4Bernie,OurRevolution2,Directed,52681,,,1.0
People4Bernie,pragmactivist,Directed,52683,,,1.0
sierraclub,NicholsUprising,Directed,53332,,,1.0
sierraclub,AFLCIO,Directed,53404,,,1.0
FastFoodForward,AFLCIO,Directed,53597,,,1.0
JoshNoneYaBiz,LeahRBoss,Directed,53668,,,1.0
JoshNoneYaBiz,LawlessPirate,Directed,53696,,,1.0
figue32bj,EconomicPolicy,Directed,53794,,,1.0
1alyssakang,fightfor15,Directed,53800,,,1.0
OccupyWallStNYC,fightfor15mass,Directed,53821,,,1.0
MaryKayHenry,FF15ChildCare,Directed,53950,,,1.0
CTUL_TC,fightfor15,Directed,54047,,,1.0
